username,followers,posts_likes_sum,posts_reposts_sum,posts_views_sum
elonmusk,237811971,135940160,13343507,7904903425
BarackObama,119312161,89981978,13828910,2441580141
realDonaldTrump,111061145,6090608,875682,956901164
narendramodi,106554509,158102,24127,14186375
Cristiano,106468637,94790785,5839099,7520421008
rihanna,96713893,51225298,6209703,2890710098
NASA,90655367,366349,57673,17759521
justinbieber,89992472,24030066,1336305,2449398631
katyperry,85630775,17001214,1419251,3674097923
taylorswift13,79383602,59643921,12008592,2197006793
YouTube,77628099,24647,2026,18468411
ladygaga,70592757,588821,122969,33881551
KimKardashian,68800078,26512085,3132242,27216120
imVkohli,66473161,31149894,2484454,224852776
BillGates,62867581,1917601,353469,26716871
TheEllenShow,62700441,48870,15744,55463383
CNN,61749142,14590,3216,3109651
X,60882679,4619,484,420694
cnnbrk,59616578,2250207,508808,68841922
PMOIndia,59167189,23625,4476,1508867
selenagomez,58772388,14526714,3008079,103251698
neymarjr,58402611,358346,24868,17566871
espn,58088181,85288,12442,10933764
nytimes,53154948,5025395,1268546,97050969
ChampionsLeague,52672768,13403805,971630,635394192
realmadrid,52660228,410348,17997,9605849
FCBarcelona,50035198,180188,14191,5316794
BBCBreaking,49847091,16947,5237,9592841
KingJames,48274824,1119409,463655,0
jtimberlake,48016994,3979743,872041,40765262
BTS_twt,47021843,242010044,67115728,0
NBA,46323732,4081,572,522844
premierleague,45996576,238081,25809,9104711
shakira,45321725,16409822,1324903,499505821
SrBachchan,44917844,7729523,582888,32617752
bts_bighit,44835102,109195956,31652664,0
akshaykumar,44448659,224205,24025,9140533
ddlovato,43305135,320007,50062,9009823
jimmyfallon,43241077,733079,47673,12700685
PlayStation,43129439,129593,19182,19386496
britneyspears,43081402,4517144,774253,110013521
BeingSalmanKhan,42190084,11703870,987767,102504552
BBCWorld,41871021,15194,3954,1761154
SportsCenter,41708286,13697647,2425879,159996388
SpaceX,41436716,85347,15971,57106996
MileyCyrus,41181333,28268158,3910273,84302240
iamsrk,40275459,11950800,1438896,196112357
sachin_rt,39140497,15080612,1329139,178645063
ManUtd,37985566,105121,9722,2141757
JoeBiden,37953274,62693984,7064619,1199104390
KylieJenner,37641261,30317168,3066383,0
AmitShah,36964893,38574,13042,971182
iamcardib,36910283,5635102,933316,103541756
BrunoMars,36696794,11155861,1697534,151866445
NFL,36192246,17784,3609,2581142
NetflixBrasil,36140599,92895,7219,3611577
POTUS46Archive,35933882,241119,16344,12952035
JLo,35329268,5003887,465171,151091189
Oprah,35104943,2008886,397174,0
MrBeast,34412436,40340475,8243326,3019305410
Drake,33762616,269658,95184,0
NiallOfficial,32595076,35238135,12424223,5004745
myogiadityanath,32527089,9764250,1327474,38690215
Google,31815689,0,72,10
KevinHart4real,31587850,3913712,853961,33886426
wizkhalifa,31386669,10758293,3192672,89934137
POTUS45,31015631,0,867624,0
kanyewest,30933831,0,0,0
Harry_Styles,29983146,3751288,558497,0
zaynmalik,29592788,31423512,11596216,179228075
iHrithik,29555886,5743017,410299,44042579
HillaryClinton,29274388,26311529,5515514,37813240
LilTunechi,29042770,358719,79434,0
Louis_Tomlinson,28910003,830290,115804,22760462
NatGeo,28888586,14678,6756,2255506
KendallJenner,28849851,8509158,1404829,18626360
FoxNews,28667731,6789425,864823,339273074
RahulGandhi,28275939,515875,123798,18997300
chrisbrown,27991697,6008046,1062682,9285402
whindersson,27744996,22165964,1486539,5188485
rashtrapatibhvn,27719995,67020,8847,1455483
khloekardashian,27709922,9497957,948401,11971954
BCCI,27642374,10106782,1202856,115627727
ArvindKejriwal,27620572,5009779,677065,30265612
BIGHIT_MUSIC,27585367,98591507,33227523,0
FabrizioRomano,27162720,5050998,666105,319566048
instagram,27122425,155,19,61174
LiamPayne,26941061,28091415,14193371,0
netflix,26712317,175291,55518,4506588
ICC,26480141,8257919,877180,75146555
NICKIMINAJ,26179407,17739984,3040822,671755094
FiersaBesari,26161854,8610128,2128302,27251155
TheEconomist,25964004,592,163,257612
Reuters,25560915,1981819,504547,45271317
ChelseaFC,25333974,93102,13233,1286833
aliciakeys,24849225,766108,141802,0
Tesla,24722795,97059,39673,23037044
priyankachopra,24721049,4771020,293731,6536264
Xbox,24682064,33984,11431,2313752
rajnathsingh,24679080,50188,5553,928031
